Run   obj.function   KGE           _k_soil_      _theta_sat_   _aquiferBaseflowExp_  _aquiferBaseflowRate_  _qSurfScale_  _summerLAI_   _frozenPrecipMultip_  _heightCanopyBottom_  _heightCanopyTop_  _Fcapil_      _tempCritRain_  _windReductionParam_  _vGn_n_       _routingGammaShape_  _routingGammaScale_  _zScale_TOPMODEL_  
21    8.653172E+00  -8.653172E+00  1.184274E-05  4.627081E-01  9.993781E+00  7.239675E-03  1.837336E+01  5.911245E+00  5.376348E-01  3.976396E+00  8.432222E+00  2.630290E-02  2.738811E+02  4.910627E-02  1.149104E+00  2.416147E+00  9.732072E+04  9.980719E+01  
22    4.399480E-01  -4.399480E-01  1.236223E-05  3.766695E-01  1.825183E+00  5.977701E-02  1.232379E+01  5.532793E+00  5.376348E-01  2.459859E+00  7.005827E+00  6.128324E-02  2.727757E+02  2.545333E-01  1.149104E+00  2.416147E+00  9.732065E+04  4.298904E+00  
23    -4.699770E-01  4.699770E-01  2.739470E-06  4.900031E-01  1.825183E+00  3.988845E-04  1.829425E+01  3.203728E+00  5.376348E-01  2.376989E+00  7.005827E+00  9.866172E-02  2.738811E+02  2.545333E-01  1.149104E+00  2.070242E+00  9.732065E+04  4.298904E+00  
24    -4.697420E-01  4.697420E-01  2.739470E-06  4.900031E-01  1.825183E+00  5.977701E-02  1.829425E+01  5.532793E+00  8.019652E-01  2.459859E+00  7.005827E+00  7.354308E-02  2.738811E+02  2.545333E-01  1.149104E+00  2.070242E+00  9.732065E+04  4.298904E+00  
25    -4.692230E-01  4.692230E-01  2.739470E-06  4.900031E-01  1.825183E+00  1.987646E-02  1.829425E+01  5.532793E+00  1.100244E+00  2.376989E+00  7.005827E+00  9.866172E-02  2.738811E+02  2.545333E-01  1.149104E+00  2.070242E+00  9.732065E+04  4.298904E+00  
26    9.311230E+00  -9.311230E+00  1.140198E-05  4.900031E-01  1.825183E+00  3.988845E-04  1.829425E+01  5.532793E+00  1.100244E+00  2.536650E+00  7.005827E+00  9.866172E-02  2.738587E+02  2.545333E-01  1.167009E+00  2.108760E+00  9.732065E+04  9.150956E+01  
27    -3.894360E-01  3.894360E-01  2.739470E-06  4.900031E-01  1.825183E+00  9.593844E-03  5.154736E+01  5.532793E+00  1.310070E+00  2.314048E+00  7.005827E+00  4.621096E-02  2.725003E+02  2.545333E-01  1.149104E+00  2.664783E+00  9.732065E+04  4.390070E+00  
28    -4.725280E-01  4.725280E-01  3.284175E-06  4.900031E-01  1.917310E+00  5.977701E-02  3.367986E+01  5.532793E+00  5.376348E-01  2.375105E+00  6.969710E+00  9.866172E-02  2.738948E+02  5.053685E-01  1.149104E+00  2.003091E+00  9.732065E+04  4.298904E+00  
29    -4.772200E-01  4.772200E-01  2.739470E-06  4.900031E-01  1.698583E+00  5.977701E-02  1.829425E+01  5.532793E+00  5.376348E-01  2.459859E+00  7.005827E+00  9.866172E-02  2.738811E+02  2.545333E-01  1.149104E+00  2.003091E+00  9.732065E+04  4.298904E+00  
30    9.267711E+00  -9.267711E+00  2.739470E-06  4.900031E-01  1.698583E+00  5.977701E-02  7.104585E+01  5.532793E+00  5.376348E-01  2.459859E+00  7.123286E+00  2.944303E-02  2.738811E+02  2.545333E-01  1.149104E+00  2.003091E+00  9.226878E+04  3.012564E+01  
31    -4.199350E-01  4.199350E-01  2.739470E-06  4.900031E-01  1.698583E+00  5.782950E-02  1.829425E+01  5.532793E+00  5.879291E-01  2.459859E+00  7.005827E+00  9.866172E-02  2.738811E+02  5.858864E-01  1.149104E+00  2.003091E+00  9.732065E+04  4.298904E+00  
32    1.749420E-01  -1.749420E-01  2.739470E-06  3.987092E-01  1.698583E+00  2.694427E-02  7.104585E+01  6.161771E+00  5.376348E-01  2.459859E+00  7.248376E+00  9.866172E-02  2.732846E+02  2.545333E-01  1.075498E+00  2.002970E+00  8.770874E+04  4.298904E+00  
33    -4.913280E-01  4.913280E-01  2.739470E-06  4.900031E-01  1.698583E+00  5.977701E-02  7.104585E+01  9.281700E+00  5.376348E-01  2.459859E+00  7.005827E+00  1.143068E-02  2.740541E+02  2.545333E-01  1.149104E+00  2.003091E+00  8.770874E+04  4.298904E+00  
34    -5.021230E-01  5.021230E-01  2.739470E-06  5.665555E-01  1.988236E+00  5.977701E-02  7.104585E+01  5.532793E+00  9.903684E-01  2.459859E+00  7.139452E+00  9.866172E-02  2.728188E+02  6.177648E-01  1.125736E+00  2.003091E+00  8.770874E+04  4.298904E+00  
35    -1.315830E-01  1.315830E-01  2.739470E-06  4.610136E-01  1.988236E+00  5.977701E-02  7.104585E+01  5.532793E+00  5.376348E-01  2.459859E+00  7.158919E+00  9.866172E-02  2.738703E+02  8.047271E-01  1.125736E+00  2.054079E+00  8.770874E+04  4.298904E+00  
36    -5.050820E-01  5.050820E-01  2.739470E-06  5.665555E-01  1.988236E+00  5.977701E-02  7.104585E+01  5.532793E+00  5.376348E-01  2.459859E+00  7.139452E+00  7.236434E-02  2.738811E+02  8.461450E-01  1.125736E+00  2.003091E+00  8.770874E+04  4.298904E+00  
37    1.169700E-01  -1.169700E-01  1.633965E-06  5.940948E-01  1.849297E+00  8.885211E-02  7.104585E+01  2.937505E+00  1.369186E+00  2.459859E+00  1.806460E+01  9.866172E-02  2.726442E+02  4.844683E-01  1.125736E+00  2.057688E+00  8.770896E+04  4.377799E+00  
38    -5.010320E-01  5.010320E-01  2.739470E-06  5.665555E-01  1.508833E+00  5.977701E-02  7.104585E+01  9.387118E+00  5.376348E-01  2.459859E+00  7.139452E+00  9.866172E-02  2.738811E+02  5.326469E-01  1.125736E+00  2.003091E+00  8.770874E+04  4.377799E+00  
39    -5.096860E-01  5.096860E-01  2.739470E-06  5.665555E-01  1.988236E+00  5.977701E-02  7.104585E+01  5.532793E+00  5.376348E-01  1.368472E-01  7.139452E+00  4.713401E-02  2.731530E+02  7.420322E-01  1.125736E+00  2.003091E+00  8.770874E+04  4.298904E+00  
40    -4.999890E-01  4.999890E-01  2.739470E-06  5.665555E-01  1.988236E+00  5.977701E-02  7.104585E+01  5.271072E+00  5.376348E-01  2.512669E+00  7.139452E+00  7.236434E-02  2.738811E+02  6.053090E-01  1.125736E+00  2.000705E+00  8.770874E+04  4.298904E+00  
41    -4.410570E-01  4.410570E-01  2.739470E-06  5.665555E-01  1.988236E+00  5.977701E-02  7.104585E+01  8.137850E-01  8.719180E-01  2.418347E+00  7.139452E+00  2.156181E-02  2.738811E+02  3.369185E-01  1.125736E+00  2.003091E+00  8.770874E+04  4.298904E+00  
42    7.392900E-01  -7.392900E-01  1.240410E-05  5.910843E-01  1.642833E+00  5.977701E-02  7.104585E+01  5.564719E+00  7.329629E-01  2.206482E+00  7.029949E+00  7.236434E-02  2.730731E+02  6.884154E-01  1.125736E+00  2.003091E+00  8.770876E+04  2.107018E+00  
43    8.569817E+00  -8.569817E+00  2.739470E-06  5.754076E-01  8.895229E+00  5.977701E-02  7.105347E+01  5.532793E+00  5.376348E-01  1.362278E+00  7.139452E+00  7.236434E-02  2.738811E+02  6.188365E-01  1.125736E+00  2.003091E+00  3.468849E+05  1.808275E+01  
